n_estimators	max_depths	min_samples_split	cores
2.16743953502737 2 7 1000 16
2.111269195796922 2 7 250 16
2.3158007808960974 2 11 250 16
2.501301510958001 2 11 100 16
3.5626260209828615 2 15 100 16
2.338087346870452 2 15 60 16
2.237867979099974 2 20 5 16
2.7592327119782567 2 20 2 16
3.4899161669891328 2 30 5 16
2.8629774579312652 2 30 2 16
7.4201397930737585 5 7 500 16
8.111879240954295 5 7 150 16
7.676444043172523 5 11 100 16
6.6286385238636285 5 11 70 16
6.501291407970712 5 15 30 16
8.37038488080725 5 15 20 16
5.979143274948001 5 20 5 16
7.331512647913769 5 20 2 16
7.647586551960558 5 30 5 16
7.858721035998315 5 30 2 16
19.42886757804081 15 7 250 16
23.060301740886644 15 7 100 16
21.849459916120395 15 11 70 16
21.354974100831896 15 11 30 16
22.68150349613279 15 15 15 16
21.3905757649336 15 15 10 16
18.824981870828196 15 20 5 16
20.03279343689792 15 20 2 16
21.929138846928254 15 30 5 16
21.06396588194184 15 30 2 16
93.34436144377105 70 7 100 16
84.65722887706943 70 7 30 16
84.62411717697978 70 11 30 16
102.7226889829617 70 11 10 16
91.77338923607022 70 15 5 16
90.27228439017199 70 15 2 16
98.2372087999247 70 20 5 16
90.6254437319003 70 20 2 16
98.84356623305939 70 30 5 16
97.52162790903822 70 30 2 16
263.8156045170035 200 7 30 16
252.01973905111663 200 7 10 16
287.009428429883 200 11 15 16
268.1090313149616 200 11 7 16
269.87295235088095 200 15 5 16
273.474405196961 200 15 2 16
287.2915159598924 200 20 5 16
280.85295386007056 200 20 2 16
292.2828755280934 200 30 5 16
285.13864303799346 200 30 2 16
