depth	hidden_size	dram__bytes_read.sum	dram__bytes_write.sum	dram__throughput.avg.pct_of_peak_sustained_elapsed	lts__t_bytes.sum	sm__inst_executed.avg.per_cycle_active	sm__warps_active.avg.per_cycle_active	smsp__warps_active.avg.per_cycle_active
2	4	216.236250	156.685208	12.117361	198.159444	0.629653	13.601597	3.688819
2	8	104.898889	236.218264	15.757569	128.651042	0.633264	13.868958	3.726458
2	16	105.536319	172.391875	18.539167	146.612986	0.625000	14.493056	3.865278
2	32	115.603125	74.097778	21.634514	160.344167	0.625208	15.322361	4.076389
2	64	105.599722	102.568403	23.005069	141.818819	0.639028	15.138264	4.030694
2	128	121.718542	77.327639	25.230000	133.064583	0.674583	15.558333	4.115208
2	256	138.223056	84.712917	26.016944	200.376944	0.672500	14.947847	3.902222
2	512	166.453986	66.138913	26.128333	249.340652	0.737391	15.300000	3.964348
3	4	242.726559	205.630538	13.883925	158.586237	0.672312	14.387849	3.842097
3	8	104.833387	335.656667	19.547097	102.731129	0.677419	14.797581	3.925215
3	16	84.833817	160.255538	24.113495	112.245914	0.667097	15.797527	4.154462
3	32	102.500645	211.809731	25.659785	150.274247	0.667204	16.920430	4.432258
3	64	87.067204	156.569624	28.026452	137.207204	0.696559	16.459462	4.305215
3	128	115.635278	124.321111	29.432444	187.998778	0.784444	17.119889	4.446667
3	256	207.403444	131.697833	30.007778	308.385889	0.816389	16.746111	4.305500
3	512	120.245862	233.437529	34.749368	248.755575	0.869023	17.161552	4.392989
5	4	265.887407	132.774259	12.617852	158.656889	0.725407	15.384519	4.036407
5	8	91.377259	413.367000	23.977333	65.928852	0.733630	15.791704	4.126963
5	16	61.467444	140.149185	31.126000	85.550444	0.719296	17.209556	4.466481
5	32	93.613519	50.343000	34.548852	112.214370	0.699889	18.667111	4.806407
5	64	74.684593	75.985259	37.507815	95.725889	0.745741	17.733778	4.571111
5	128	121.949008	124.901389	37.088175	204.379603	0.898333	18.730794	4.798849
5	256	159.965397	178.950913	37.910516	153.943651	0.932937	18.430079	4.693651
5	512	125.062317	100.402846	45.141707	304.669756	0.960528	18.767236	4.765772
7	4	292.235339	303.224944	17.137006	130.673333	0.750056	15.723616	4.092768
7	8	89.480141	447.637119	26.754492	60.553136	0.762825	16.339124	4.229802
7	16	56.227994	134.607599	34.582345	68.637034	0.745198	17.983023	4.628362
7	32	86.787062	40.473503	38.061073	97.853277	0.724040	19.606836	5.012203
7	64	64.529294	67.823277	41.781497	96.692627	0.775678	18.391921	4.714096
7	128	109.981019	77.186698	42.571111	136.677191	0.954352	19.618148	4.992222
7	256	75.888519	93.395864	42.782006	140.606204	0.996698	19.343704	4.899691
7	512	123.900503	129.001698	47.137013	358.800472	1.016887	19.697642	4.977610
9	4	301.744635	304.830137	18.055046	131.847557	0.768037	15.961941	4.135160
9	8	78.689315	465.994863	27.886781	49.273425	0.782443	16.691187	4.295160
9	16	46.369658	114.767123	36.583836	61.509475	0.766164	18.457283	4.726575
9	32	75.803037	31.283584	40.346324	95.157329	0.740251	20.171027	5.135342
9	64	63.579087	69.145365	44.387534	91.046849	0.795320	18.812900	4.800502
9	128	105.239747	72.850379	45.216338	71.022399	0.991338	20.177904	5.113586
9	256	72.862677	92.477702	44.740404	147.827045	1.037879	19.937727	5.035051
9	512	124.666026	133.605769	47.697692	379.672692	1.059256	20.579026	5.185769
