max_depth,hidden_size,cores,training_time,cache_miss_percent,cpus_utilized,ipc
2,4,32,0.15962,11.452,5.470,0.85
3,4,32,0.18850,10.965,5.631,0.82
5,4,32,0.23343,10.662,6.191,0.82
7,4,32,0.25534,9.984,6.531,0.81
9,4,32,0.34197,9.865,7.082,0.79
2,8,32,0.23157,11.242,5.588,0.84
3,8,32,0.31481,9.898,6.220,0.79
5,8,32,0.47351,8.656,7.204,0.73
7,8,32,0.57790,8.319,8.001,0.70
9,8,32,0.74747,7.417,8.819,0.66
2,16,32,0.27285,9.565,5.776,0.76
3,16,32,0.46606,8.428,6.930,0.66
5,16,32,0.67266,7.022,8.742,0.57
7,16,32,1.00373,6.476,10.169,0.49
9,16,32,1.15101,5.893,11.418,0.46
2,32,32,0.81094,20.254,6.041,0.68
3,32,32,1.16038,25.632,7.796,0.53
5,32,32,1.79870,27.212,10.214,0.42
7,32,32,2.19973,26.942,12.131,0.38
9,32,32,2.73899,30.439,13.653,0.35
2,64,32,1.45335,30.483,6.374,0.58
3,64,32,2.14752,35.092,8.927,0.43
5,64,32,3.75158,40.186,11.984,0.32
7,64,32,5.03651,39.895,13.696,0.30
9,64,32,6.32208,41.574,15.346,0.28
2,128,32,2.90534,37.847,7.146,0.45
3,128,32,3.57500,28.859,9.485,0.44
5,128,32,4.95889,22.597,13.014,0.43
7,128,32,6.22221,19.863,15.340,0.42
9,128,32,7.64329,19.402,16.970,0.42
2,256,32,5.41408,41.354,7.493,0.39
3,256,32,7.28370,27.340,11.274,0.44
5,256,32,10.79176,21.166,16.127,0.46
7,256,32,14.48104,18.659,18.754,0.47
9,256,32,18.09182,18.128,20.487,0.48
2,512,32,14.27623,37.558,6.879,0.29
3,512,32,18.75856,19.548,11.604,0.50
5,512,32,28.65773,13.661,16.371,0.60
7,512,32,35.37440,12.673,19.437,0.66
9,512,32,41.84484,11.391,20.099,0.75
