depth	hidden_size	latency
2	4	0.07612204659999407
2	8	0.07272282379999524
2	16	0.07727818980010852
2	32	0.08020352359999379
2	64	0.0931375931999355
2	128	0.10673143539988814
2	256	0.16058434840006158
2	512	0.24443949300002715
3	4	0.07255871759980437
3	8	0.07528500580010586
3	16	0.07850271839988636
3	32	0.09668873900009203
3	64	0.12268087219999871
3	128	0.18024154519998775
3	256	0.3860484269999688
3	512	1.0070165641999664
5	4	0.09353129520004586
5	8	0.08820198800003709
5	16	0.09509025820007082
5	32	0.12656615439982488
5	64	0.18978007260020605
5	128	0.3309055159998934
5	256	0.8298260070001561
5	512	2.5284507311999733
7	4	0.10564217539995298
7	8	0.10705041900000652
7	16	0.11462237379992075
7	32	0.16050213500002428
7	64	0.25956578039995293
7	128	0.47918919339999777
7	256	1.2819162228000096
7	512	4.054149527999925
9	4	0.12414396720005243
9	8	0.12033598220004933
9	16	0.12666185279995262
9	32	0.19099282579991267
9	64	0.3284259796000697
9	128	0.6183272453999962
9	256	1.7184310683999684
9	512	5.659437490399978
