depth	hidden_size	latency
2	4	0.009429962000012893
2	8	0.009169735999989825
2	16	0.00943833500002711
2	32	0.010315262999995412
2	64	0.012379264000003332
2	128	0.014851194000016221
2	256	0.021700978000012583
2	512	0.031684294999990925
3	4	0.010284447000003638
3	8	0.010119817999964198
3	16	0.010785054999985277
3	32	0.012759494999954768
3	64	0.017065114000047288
3	128	0.024319706999961
3	256	0.05021811199998183
3	512	0.1293886870000165
5	4	0.012135803000035139
5	8	0.011880216999998083
5	16	0.013337560999957532
5	32	0.01743030400001544
5	64	0.02623133100001951
5	128	0.04305918500000416
5	256	0.10523491899999726
5	512	0.32344931899996254
7	4	0.014000703000021986
7	8	0.013636977999965438
7	16	0.015901711000026353
7	32	0.022091048999982377
7	64	0.03535717899995916
7	128	0.06151510600000165
7	256	0.16061090499999864
7	512	0.5179091100000051
9	4	0.01589687099999537
9	8	0.015380148999952326
9	16	0.018455119999998715
9	32	0.026789631999974972
9	64	0.04446380699999963
9	128	0.07984689299996717
9	256	0.21572213999996848
9	512	0.7123024440000449
