n_estimators	max_depths	min_samples_split	cores
9.309440245999667 5 7 150 1
9.73483416299996 5 15 20 1
8.344920984000055 5 25 2 1
27.81477618100007 15 7 100 1
26.356666094000047 15 15 10 1
25.154532864999965 15 25 2 1
61.88693669400027 45 7 50 1
66.28549714099972 45 15 5 1
72.34878950699976 45 25 2 1
130.92273339700023 90 7 25 1
142.78392437699995 90 15 2 1
147.32206648299962 90 25 2 1
213.384068373 140 7 15 1
228.8640273279998 140 15 2 1
232.969354717 140 25 2 1
302.3826765679996 200 7 10 1
327.54670432500006 200 15 2 1
338.00144095500036 200 25 2 1
6.319942643000104 5 7 150 2
7.026622434000274 5 15 20 2
5.510167161000027 5 25 2 2
17.87533222500042 15 7 100 2
17.293411697999545 15 15 10 2
15.700560465999843 15 25 2 2
39.703859872000066 45 7 50 2
41.58966636199966 45 15 5 2
45.09974882999995 45 25 2 2
82.60370267500002 90 7 25 2
88.24991376499929 90 15 2 2
89.91492306100008 90 25 2 2
131.8544167129994 140 7 15 2
140.67940699500014 140 15 2 2
142.36265261800054 140 25 2 2
187.73857040599978 200 7 10 2
200.0190037829998 200 15 2 2
203.90000281799985 200 25 2 2
5.786523390999719 5 7 150 4
6.458324385000196 5 15 20 4
4.530109611000626 5 25 2 4
15.103523748000043 15 7 100 4
14.47313591799957 15 15 10 4
12.807624865000435 15 25 2 4
32.89990106999994 45 7 50 4
33.82972033799979 45 15 5 4
36.35253809900041 45 25 2 4
67.43868997400023 90 7 25 4
71.18088699000054 90 15 2 4
71.63440560500021 90 25 2 4
106.1801019200002 140 7 15 4
114.22491037599957 140 15 2 4
112.00383236800008 140 25 2 4
150.46450666800047 200 7 10 4
161.70693116099937 200 15 2 4
161.8584205419993 200 25 2 4
5.434225820000393 5 7 150 8
6.114806640000097 5 15 20 8
4.73903189199973 5 25 2 8
15.82744156300032 15 7 100 8
15.187127812000654 15 15 10 8
13.660965671000667 15 25 2 8
35.17067735599994 45 7 50 8
36.774520110000594 45 15 5 8
38.87814736400105 45 25 2 8
73.05853693999961 90 7 25 8
77.4591873570007 90 15 2 8
77.02225787800126 90 25 2 8
115.99371971500113 140 7 15 8
123.31317884899909 140 15 2 8
121.58557367600042 140 25 2 8
163.84719623600176 200 7 10 8
174.20986512700074 200 15 2 8
175.66664262900122 200 25 2 8
