n_estimators	max_depths	min_samples_split	cores
7.647591257933527 5 7 150 1
8.443902636878192 5 15 20 1
6.817007640143856 5 25 2 1
23.384305604966357 15 7 100 1
22.69194238912314 15 15 10 1
20.76871605706401 15 25 2 1
54.52711425698362 45 7 50 1
54.80400773789734 45 15 5 1
59.454376983921975 45 25 2 1
114.43406211514957 90 7 25 1
119.4645693320781 90 15 2 1
120.63963099103421 90 25 2 1
183.76285586412996 140 7 15 1
194.67378057399765 140 15 2 1
199.69220345490612 140 25 2 1
267.3242435269058 200 7 10 1
267.82894518994726 200 15 2 1
288.653382148128 200 25 2 1
343.33332929504104 270 7 6 1
372.3193677449599 270 15 2 1
371.79829448391683 270 25 2 1
171.19898865907453 270 7 2 2
5.262752776034176 5 15 20 2
3.7679496449418366 5 25 2 2
12.787863720906898 15 7 100 2
12.3540822211653 15 15 10 2
11.08045204100199 15 25 2 2
27.873451833846048 45 7 50 2
29.46251767897047 45 15 5 2
31.97705386998132 45 25 2 2
57.95971759990789 90 7 25 2
61.75562630593777 90 15 2 2
62.89290961809456 90 25 2 2
92.99850696092471 140 7 15 2
98.21704246499576 140 15 2 2
99.14616134110838 140 25 2 2
131.57388059981167 200 7 10 2
140.19221876002848 200 15 2 2
144.7071142650675 200 25 2 2
174.63667391100898 270 7 6 2
187.4308319669217 270 15 2 2
195.15697732195258 270 25 2 2
106.54093983001076 270 7 2 4
4.384130263002589 5 15 20 4
2.6443114359863102 5 25 2 4
8.618799407966435 15 7 100 4
8.678725074976683 15 15 10 4
7.329467829084024 15 25 2 4
17.914329041959718 45 7 50 4
18.561684066895396 45 15 5 4
20.18238018709235 45 25 2 4
36.676334836985916 90 7 25 4
38.281972928904 90 15 2 4
38.714795819018036 90 25 2 4
57.83160978113301 140 7 15 4
61.21350984717719 140 15 2 4
60.45749593595974 140 25 2 4
81.38658034801483 200 7 10 4
88.38733757101 200 15 2 4
92.03185302205384 200 25 2 4
114.44536700099707 270 7 6 4
120.27885973500088 270 15 2 4
117.93914164206944 270 25 2 4
67.55873329704627 270 7 2 8
3.49833097984083 5 15 20 8
2.8698342831339687 5 25 2 8
6.14400585507974 15 7 100 8
6.156028277007863 15 15 10 8
4.950872212881222 15 25 2 8
12.168098320020363 45 7 50 8
11.94696166110225 45 15 5 8
13.566334697883576 45 25 2 8
23.93033348908648 90 7 25 8
24.84768206696026 90 15 2 8
24.670880784047768 90 25 2 8
36.852856524055824 140 7 15 8
39.15408573509194 140 15 2 8
38.75170719297603 140 25 2 8
51.901866171043366 200 7 10 8
54.64983225404285 200 15 2 8
55.93128901813179 200 25 2 8
68.72789050801657 270 7 6 8
72.90824589296244 270 15 2 8
74.43556873896159 270 25 2 8
47.96584997093305 270 7 2 16
3.362468337174505 5 15 20 16
2.8159421109594405 5 25 2 16
4.377575359074399 15 7 100 16
4.79445600300096 15 15 10 16
4.473929101135582 15 25 2 16
9.408860604977235 45 7 50 16
9.507251301780343 45 15 5 16
10.033803730970249 45 25 2 16
17.63270156783983 90 7 25 16
18.61932607111521 90 15 2 16
18.72100349003449 90 25 2 16
26.99021765193902 140 7 15 16
28.37395022297278 140 15 2 16
27.690532301086932 140 25 2 16
37.058242531027645 200 7 10 16
39.362178398063406 200 15 2 16
40.582835253095254 200 25 2 16
48.69079058198258 270 7 6 16
52.11265922291204 270 15 2 16
52.31490994198248 270 25 2 16
49.02062591002323 270 7 2 32
3.374569844920188 5 15 20 32
2.8056647810153663 5 25 2 32
4.516181152081117 15 7 100 32
4.703067633090541 15 15 10 32
4.240966188954189 15 25 2 32
9.08825160190463 45 7 50 32
9.519119997043163 45 15 5 32
10.008438820019364 45 25 2 32
17.465147288050503 90 7 25 32
18.75565971294418 90 15 2 32
19.07507646898739 90 25 2 32
26.65322472411208 140 7 15 32
28.437134101986885 140 15 2 32
28.144541207002476 140 25 2 32
37.29626563587226 200 7 10 32
40.057863721158355 200 15 2 32
41.397327875951305 200 25 2 32
50.16012415406294 270 7 6 32
53.382809343980625 270 15 2 32
53.045784692047164 270 25 2 32
