n_estimators,max_depth,min_samples_split,cores,training_time,cache_miss_percent,cpus_utilized,ipc
5,7,150,1,0.04377864906564355,21.708,1.000,1.64
5,15,20,1,0.04893290996551514,21.860,1.001,1.62
5,25,2,1,0.05181137379258871,22.074,1.000,1.59
15,7,100,1,0.08415197720751166,21.325,1.000,1.62
15,15,10,1,0.0933957020752132,21.540,1.001,1.65
15,25,2,1,0.1114919912070036,21.974,1.001,1.59
45,7,50,1,0.18127991911023855,20.266,1.000,1.69
45,15,5,1,0.23023646231740713,21.594,1.000,1.63
45,25,2,1,0.2961089420132339,22.118,1.001,1.54
90,7,25,1,0.35221595223993063,19.276,1.000,1.81
90,15,2,1,0.46245498210191727,20.982,1.000,1.66
90,25,2,1,0.6224869089201093,22.498,1.000,1.46
140,7,15,1,0.5366471498273313,18.046,1.000,1.87
140,15,2,1,0.7323826220817864,20.907,1.000,1.66
140,25,2,1,0.9289169651456177,22.326,1.002,1.47
200,7,10,1,0.7469089990481734,16.863,1.000,1.94
200,15,2,1,1.0230241627432406,20.288,1.002,1.68
200,25,2,1,1.3269940549507737,21.838,1.005,1.44
270,7,6,1,0.9971214067190886,16.445,1.002,1.98
270,15,2,1,1.370021081995219,20.494,1.005,1.70
270,25,2,1,1.7618204900063574,21.909,1.006,1.43
5,7,150,2,0.14744936721399426,22.066,1.204,1.61
5,15,20,2,0.14768950222060084,22.308,1.217,1.61
5,25,2,2,0.14835882792249322,22.505,1.215,1.60
15,7,100,2,0.1468293652869761,21.888,1.260,1.65
15,15,10,2,0.14689455786719918,22.062,1.274,1.62
15,25,2,2,0.14721418265253305,22.374,1.287,1.60
45,7,50,2,0.15670920303091407,20.798,1.372,1.69
45,15,5,2,0.2654822706244886,21.905,1.280,1.66
45,25,2,2,0.25603909883648157,22.381,1.351,1.56
90,7,25,2,0.26928581623360515,19.710,1.428,1.79
90,15,2,2,0.3660658090375364,21.455,1.393,1.70
90,25,2,2,0.42157645989209414,22.363,1.438,1.52
140,7,15,2,0.36771773314103484,18.416,1.489,1.83
140,15,2,2,0.4834927278570831,21.282,1.496,1.69
140,25,2,2,0.5808595819398761,22.084,1.521,1.50
200,7,10,2,0.4786036009900272,17.797,1.545,1.86
200,15,2,2,0.6767424191348255,20.762,1.518,1.69
200,25,2,2,0.7997991079464555,22.160,1.567,1.48
270,7,6,2,0.6585198920220137,17.051,1.569,1.94
270,15,2,2,0.7872594487853348,20.887,1.664,1.68
270,25,2,2,0.9891278520226479,22.376,1.676,1.44
5,7,150,4,0.1495086932554841,22.423,1.649,1.73
5,15,20,4,0.14899719506502151,22.458,1.650,1.72
5,25,2,4,0.1496809790842235,22.490,1.643,1.72
15,7,100,4,0.1494820322841406,21.913,1.701,1.74
15,15,10,4,0.15041896514594555,22.205,1.703,1.73
15,25,2,4,0.15055980067700148,22.661,1.716,1.71
45,7,50,4,0.1503418399952352,20.648,1.848,1.77
45,15,5,4,0.15044840890914202,21.874,1.891,1.74
45,25,2,4,0.15147716598585248,22.215,1.945,1.66
90,7,25,4,0.2758781863376498,19.848,1.842,1.83
90,15,2,4,0.2686218209564686,21.715,1.937,1.75
90,25,2,4,0.2526953248307109,22.649,2.064,1.60
140,7,15,4,0.25326948100700974,18.777,2.110,1.82
140,15,2,4,0.26296603213995695,21.301,2.217,1.74
140,25,2,4,0.35558529663830996,22.313,2.170,1.59
200,7,10,4,0.3479862930253148,18.462,2.156,1.90
200,15,2,4,0.375290319789201,20.972,2.303,1.74
200,25,2,4,0.483056103810668,22.461,2.268,1.55
270,7,6,4,0.41383198322728276,17.680,2.286,1.93
270,15,2,4,0.4980920162051916,21.105,2.397,1.74
270,25,2,4,0.5850645177997649,22.073,2.396,1.53
5,7,150,8,0.14855987904593349,22.772,2.429,1.83
5,15,20,8,0.15035287104547024,22.291,2.464,1.84
5,25,2,8,0.1510260640643537,22.388,2.455,1.82
15,7,100,8,0.15295263705775142,22.189,2.517,1.85
15,15,10,8,0.15334430802613497,22.319,2.539,1.84
15,25,2,8,0.1522330273874104,22.545,2.517,1.81
45,7,50,8,0.15235099894925952,21.408,2.676,1.84
45,15,5,8,0.15468750894069672,22.609,2.690,1.80
45,25,2,8,0.15390798496082425,22.888,2.772,1.74
90,7,25,8,0.15368373971432447,20.613,2.932,1.85
90,15,2,8,0.16370208095759153,21.389,3.010,1.77
90,25,2,8,0.1893632598221302,23.315,3.069,1.70
140,7,15,8,0.27590470807626843,19.527,2.889,1.87
140,15,2,8,0.2627857127226889,21.957,3.040,1.79
140,25,2,8,0.25863177608698606,23.244,3.111,1.64
200,7,10,8,0.2597512318752706,19.291,3.177,1.87
200,15,2,8,0.2805588720366359,21.778,3.367,1.75
200,25,2,8,0.37575710378587246,23.420,3.227,1.59
270,7,6,8,0.36311759473755956,18.433,3.149,1.90
270,15,2,8,0.3892158209346235,22.055,3.431,1.73
270,25,2,8,0.3772585238330066,23.304,3.604,1.56
5,7,150,16,0.14885259326547384,21.806,4.043,1.75
5,15,20,16,0.15019009169191122,21.693,4.031,1.72
5,25,2,16,0.14937769621610641,21.699,3.998,1.72
15,7,100,16,0.15990988723933697,22.187,4.046,1.73
15,15,10,16,0.16044155368581414,22.513,4.102,1.67
15,25,2,16,0.15969978086650372,22.702,4.089,1.62
45,7,50,16,0.16208639414981008,21.342,4.197,1.65
45,15,5,16,0.16261288989335299,22.267,4.275,1.71
45,25,2,16,0.16270887292921543,23.002,4.342,1.59
90,7,25,16,0.17319122096523643,20.309,4.425,1.66
90,15,2,16,0.1728050196543336,22.265,4.531,1.67
90,25,2,16,0.2134700696915388,23.132,4.326,1.57
140,7,15,16,0.28468566900119185,19.532,4.200,1.76
140,15,2,16,0.2961805108934641,22.049,4.398,1.66
140,25,2,16,0.2676691208034754,23.417,4.580,1.49
200,7,10,16,0.28404485573992133,18.683,4.506,1.76
200,15,2,16,0.33414057455956936,21.902,4.559,1.61
200,25,2,16,0.3982250429689884,23.577,4.335,1.52
270,7,6,16,0.3921454241499305,18.571,4.343,1.77
270,15,2,16,0.381722629070282,21.943,4.698,1.64
270,25,2,16,0.4037778382189572,23.685,4.737,1.42
5,7,150,32,0.14889013301581144,19.862,6.536,1.23
5,15,20,32,0.14846918871626258,20.425,6.614,1.22
5,25,2,32,0.14919956773519516,20.314,6.359,1.21
15,7,100,32,0.15886603388935328,20.210,6.474,1.24
15,15,10,32,0.15924752410501242,20.501,6.501,1.23
15,25,2,32,0.16014466295018792,20.915,6.270,1.22
45,7,50,32,0.17657000198960304,20.048,6.482,1.26
45,15,5,32,0.1767864217981696,21.336,6.612,1.24
45,25,2,32,0.1759877009317279,21.915,6.287,1.22
90,7,25,32,0.1986186089925468,19.591,6.583,1.26
90,15,2,32,0.19947973731905222,21.308,6.589,1.24
90,25,2,32,0.2835586559958756,22.092,5.961,1.21
140,7,15,32,0.28287932090461254,18.620,6.282,1.31
140,15,2,32,0.28373617166653275,21.432,6.415,1.26
140,25,2,32,0.2933416021987796,22.584,6.446,1.22
200,7,10,32,0.379463616758585,18.261,6.158,1.32
200,15,2,32,0.4195164889097214,21.195,5.991,1.28
200,25,2,32,0.42066527204588056,22.609,5.842,1.21
270,7,6,32,0.4599559432826936,17.981,6.007,1.37
270,15,2,32,0.46337641309946775,21.341,6.070,1.28
270,25,2,32,0.5347353918477893,22.927,5.736,1.20
