n_estimators	max_depths	min_samples_split	cores
2.1565658431500196 2 7 1000 1
2.103633597958833 2 7 250 1
2.2806784559506923 2 11 250 1
2.494147614110261 2 11 100 1
3.562604142120108 2 15 100 1
2.3069835130590945 2 15 60 1
2.2516368229407817 2 20 5 1
2.5813017110340297 2 20 2 1
3.517571802949533 2 30 5 1
2.8411140190437436 2 30 2 1
7.485218242974952 5 7 500 1
7.675278173061088 5 7 150 1
7.662527828942984 5 11 100 1
6.296081874985248 5 11 70 1
6.210360925178975 5 15 30 1
8.372590843122452 5 15 20 1
5.959900703979656 5 20 5 1
7.696210409980267 5 20 2 1
7.630948982900009 5 30 5 1
8.299506151117384 5 30 2 1
18.365130773046985 15 7 250 1
24.279151530005038 15 7 100 1
21.789599306881428 15 11 70 1
22.453884430928156 15 11 30 1
22.522137300111353 15 15 15 1
21.492288972018287 15 15 10 1
19.75888354005292 15 20 5 1
19.974950114032254 15 20 2 1
22.989698007004336 15 30 5 1
21.176529875025153 15 30 2 1
95.18730788910761 70 7 100 1
85.8068687429186 70 7 30 1
88.32836893294007 70 11 30 1
102.78357119602151 70 11 10 1
93.02791033009999 70 15 5 1
92.9301840129774 70 15 2 1
101.33296515699476 70 20 5 1
90.63968835887499 70 20 2 1
103.45789264095947 70 30 5 1
96.76165894814767 70 30 2 1
266.442510911962 200 7 30 1
250.78286595200188 200 7 10 1
286.71817335207015 200 11 15 1
273.7315256688744 200 11 7 1
273.00578437699005 200 15 5 1
282.0057440199889 200 15 2 1
288.14212562097237 200 20 5 1
278.7938926189672 200 20 2 1
284.614105528919 200 30 5 1
297.80941661586985 200 30 2 1
254.18545485287905 200 7 2 2
2.1114650999661535 2 7 250 2
2.285790052032098 2 11 250 2
2.5768094388768077 2 11 100 2
3.5702939671464264 2 15 100 2
2.312440644018352 2 15 60 2
2.2404503121506423 2 20 5 2
2.5661980099976063 2 20 2 2
3.4798046990763396 2 30 5 2
2.8459295709617436 2 30 2 2
7.47114991187118 5 7 500 2
7.6845977660268545 5 7 150 2
7.322521336143836 5 11 100 2
6.591337091987953 5 11 70 2
6.236029658932239 5 15 30 2
8.357490451075137 5 15 20 2
5.979528840864077 5 20 5 2
7.695245443843305 5 20 2 2
7.617680822033435 5 30 5 2
8.263577853096649 5 30 2 2
18.274299350799993 15 7 250 2
24.300709826871753 15 7 100 2
21.90604590298608 15 11 70 2
22.3708702030126 15 11 30 2
22.641593751031905 15 15 15 2
22.48865573015064 15 15 10 2
18.84708677814342 15 20 5 2
21.049363397993147 15 20 2 2
21.913493708940223 15 30 5 2
22.280763348098844 15 30 2 2
91.92052018898539 70 7 100 2
88.20313712907955 70 7 30 2
84.37926013814285 70 11 30 2
97.65805147984065 70 11 10 2
96.50192269007675 70 15 5 2
90.3307989127934 70 15 2 2
103.91380515415221 70 20 5 2
90.40534961107187 70 20 2 2
103.3984451550059 70 30 5 2
97.35134600405581 70 30 2 2
264.1642002980225 200 7 30 2
257.63135215081275 200 7 10 2
285.42094898899086 200 11 15 2
272.243183827959 200 11 7 2
278.5421294250991 200 15 5 2
282.4296374239493 200 15 2 2
287.4414283330552 200 20 5 2
279.08614863082767 200 20 2 2
302.7168163319584 200 30 5 2
299.72294478002004 200 30 2 2
262.60821015387774 200 7 2 4
2.1180976189207286 2 7 250 4
2.4357952170539647 2 11 250 4
2.667196426074952 2 11 100 4
3.818472041049972 2 15 100 4
2.4064739639870822 2 15 60 4
2.2520040050148964 2 20 5 4
2.575080939102918 2 20 2 4
3.481161885894835 2 30 5 4
2.843615133082494 2 30 2 4
7.4761937281582505 5 7 500 4
8.074554617982358 5 7 150 4
7.304278281982988 5 11 100 4
6.652010916965082 5 11 70 4
6.273789996048436 5 15 30 4
8.446291803149506 5 15 20 4
6.041005331091583 5 20 5 4
7.857995830941945 5 20 2 4
7.712061286903918 5 30 5 4
8.355346816126257 5 30 2 4
18.29437291692011 15 7 250 4
24.229996056994423 15 7 100 4
21.777818338014185 15 11 70 4
22.52772147092037 15 11 30 4
22.677361506037414 15 15 15 4
22.516777623910457 15 15 10 4
18.872174402000383 15 20 5 4
21.220564601942897 15 20 2 4
22.169819235801697 15 30 5 4
22.221139665925875 15 30 2 4
91.71350755100138 70 7 100 4
88.425760575803 70 7 30 4
84.46947068488225 70 11 30 4
103.19349559489638 70 11 10 4
91.28853522799909 70 15 5 4
95.48484842013568 70 15 2 4
98.59765597712249 70 20 5 4
91.15594506915659 70 20 2 4
103.85695839789696 70 30 5 4
97.16514814505354 70 30 2 4
266.35008833603933 200 7 30 4
250.68179405108094 200 7 10 4
287.4471078470815 200 11 15 4
260.9776508528739 200 11 7 4
286.33904706384055 200 15 5 4
278.8572875249665 200 15 2 4
304.230430202093 200 20 5 4
281.52267972100526 200 20 2 4
294.4668123340234 200 30 5 4
293.98868762119673 200 30 2 4
