n_estimators,max_depth,min_samples_split,cores,training_time,cache_miss_percent,cpus_utilized,ipc
5,7,150,1,7.8205,31.997,1.005,1.17
5,15,20,1,8.4093,31.882,1.006,1.15
5,25,2,1,7.0839,29.708,1.007,1.20
15,7,100,1,23.6137,36.887,1.002,1.10
15,15,10,1,22.4552,36.753,1.002,1.09
15,25,2,1,21.5211,36.231,1.002,1.12
45,7,50,1,53.8446,37.072,1.001,1.08
45,15,5,1,56.7255,38.264,1.001,1.10
45,25,2,1,59.2682,38.573,1.000,1.14
90,7,25,1,111.8856,38.892,1.001,1.08
90,15,2,1,122.6861,39.939,1.000,1.07
90,25,2,1,123.1878,39.917,1.000,1.10
140,7,15,1,181.6277,39.450,1.000,1.07
140,15,2,1,193.3870,40.638,1.000,1.08
140,25,2,1,196.1850,40.381,1.000,1.10
200,7,10,1,261.5005,39.661,1.000,1.06
200,15,2,1,274.8835,40.738,1.000,1.09
200,25,2,1,274.5488,40.538,1.000,1.13
270,7,6,1,349.8419,39.705,1.000,1.06
270,15,2,1,371.7655,40.697,1.000,1.08
270,25,2,1,384.8540,40.638,1.000,1.09
5,7,150,2,4.6228,32.265,1.727,1.14
5,15,20,2,5.2441,32.055,1.579,1.18
5,25,2,2,3.8791,29.819,1.830,1.19
15,7,100,2,12.5349,37.258,1.887,1.09
15,15,10,2,12.2510,37.108,1.806,1.10
15,25,2,2,11.0508,36.234,1.920,1.13
45,7,50,2,27.7147,36.885,1.921,1.10
45,15,5,2,28.6642,37.964,1.969,1.11
45,25,2,2,31.5164,38.356,1.924,1.11
90,7,25,2,57.9092,38.358,1.966,1.07
90,15,2,2,61.2655,39.740,1.984,1.08
90,25,2,2,62.5923,39.693,1.984,1.10
140,7,15,2,92.9312,38.799,1.985,1.06
140,15,2,2,97.4312,40.136,1.994,1.08
140,25,2,2,98.7090,40.125,1.986,1.10
200,7,10,2,130.2686,38.977,1.990,1.08
200,15,2,2,139.7742,40.210,1.986,1.08
200,25,2,2,141.9587,40.499,1.990,1.10
270,7,6,2,173.2638,39.288,1.996,1.07
270,15,2,2,185.6077,40.471,1.989,1.09
270,25,2,2,193.5216,39.807,1.995,1.08
5,7,150,4,3.5767,32.110,2.601,1.02
5,15,20,4,4.2652,31.983,2.228,1.07
5,25,2,4,2.6296,29.808,2.929,1.11
15,7,100,4,8.3999,36.329,3.333,0.92
15,15,10,4,8.3950,37.202,3.088,0.95
15,25,2,4,6.9707,36.329,3.510,0.97
45,7,50,4,17.4471,37.124,3.603,0.93
45,15,5,4,17.7444,38.032,3.755,0.94
45,25,2,4,19.8948,38.262,3.608,0.94
90,7,25,4,35.2908,38.737,3.804,0.90
90,15,2,4,37.8988,39.807,3.875,0.90
90,25,2,4,37.6925,39.462,3.896,0.93
140,7,15,4,56.1177,39.161,3.920,0.89
140,15,2,4,60.0173,40.526,3.909,0.89
140,25,2,4,59.1588,40.194,3.936,0.92
200,7,10,4,79.3000,39.288,3.943,0.89
200,15,2,4,84.4951,40.542,3.932,0.90
200,25,2,4,84.8954,40.211,3.943,0.92
270,7,6,4,104.4463,39.481,3.961,0.90
270,15,2,4,112.3007,40.335,3.947,0.91
270,25,2,4,114.1061,40.718,3.948,0.93
5,7,150,8,2.8343,32.304,3.548,1.02
5,15,20,8,3.5403,32.320,2.958,1.06
5,25,2,8,2.8144,30.172,3.168,1.10
15,7,100,8,6.0025,37.981,5.451,0.80
15,15,10,8,5.8887,37.707,5.115,0.83
15,25,2,8,4.6069,36.905,6.133,0.85
45,7,50,8,11.1487,37.406,6.719,0.78
45,15,5,8,11.1993,38.485,6.992,0.80
45,25,2,8,12.5301,38.679,6.614,0.81
90,7,25,8,22.3128,38.863,7.184,0.76
90,15,2,8,23.2041,40.443,7.350,0.77
90,25,2,8,22.8962,39.751,7.514,0.79
140,7,15,8,34.1668,39.491,7.593,0.75
140,15,2,8,36.3943,40.495,7.563,0.76
140,25,2,8,36.0624,39.974,7.696,0.77
200,7,10,8,47.8659,39.468,7.741,0.75
200,15,2,8,50.9701,40.544,7.740,0.76
200,25,2,8,52.4314,40.622,7.599,0.78
270,7,6,8,63.3029,39.705,7.834,0.75
270,15,2,8,67.8931,40.647,7.720,0.77
270,25,2,8,69.2927,40.711,7.760,0.78
5,7,150,16,2.8330,32.219,3.984,1.03
5,15,20,16,3.5236,32.381,3.342,1.06
5,25,2,16,2.8316,29.763,3.782,1.04
15,7,100,16,3.9994,37.702,9.591,0.70
15,15,10,16,4.2971,37.649,8.551,0.70
15,25,2,16,4.0174,37.238,8.496,0.74
45,7,50,16,8.3474,38.008,11.472,0.61
45,15,5,16,8.3802,39.197,11.667,0.64
45,25,2,16,8.5719,39.698,12.029,0.65
90,7,25,16,14.9320,40.015,13.424,0.61
90,15,2,16,15.7845,40.675,13.567,0.61
90,25,2,16,16.0819,40.441,13.615,0.62
140,7,15,16,22.2509,40.440,14.548,0.60
140,15,2,16,23.7581,41.264,14.373,0.61
140,25,2,16,23.4736,41.042,14.466,0.63
200,7,10,16,31.0558,40.641,14.890,0.60
200,15,2,16,33.0541,41.697,14.805,0.61
200,25,2,16,34.3427,41.265,14.318,0.63
270,7,6,16,40.7738,40.673,15.301,0.59
270,15,2,16,43.7090,41.372,14.904,0.62
270,25,2,16,43.6323,41.496,15.178,0.63
5,7,150,32,2.7707,31.589,4.714,0.95
5,15,20,32,3.5292,31.451,4.012,0.96
5,25,2,32,2.7772,29.253,4.456,0.98
15,7,100,32,4.2219,37.258,9.926,0.66
15,15,10,32,4.6578,37.410,8.410,0.69
15,25,2,32,3.8714,36.688,9.198,0.72
45,7,50,32,7.3261,41.031,18.283,0.44
45,15,5,32,7.5544,41.954,18.764,0.45
45,25,2,32,7.8342,42.038,18.853,0.46
90,7,25,32,13.0938,44.137,24.496,0.38
90,15,2,32,14.3733,45.221,23.551,0.39
90,25,2,32,14.3745,44.550,23.600,0.40
140,7,15,32,19.4657,45.194,27.494,0.37
140,15,2,32,20.6920,46.090,27.098,0.37
140,25,2,32,20.2527,45.261,27.006,0.39
200,7,10,32,26.9007,45.189,28.373,0.36
200,15,2,32,28.8113,46.226,27.946,0.37
200,25,2,32,30.3058,45.770,26.337,0.39
270,7,6,32,35.9041,45.613,29.003,0.36
270,15,2,32,37.9826,46.233,28.553,0.37
270,25,2,32,38.0905,46.202,29.086,0.38
