n_estimators	max_depths	min_samples_split	cores
8.026164891198277 5 7 150 1
8.455782796256244 5 15 20 1
6.821162195876241 5 25 2 1
23.28622482344508 15 7 100 1
22.580921425949782 15 15 10 1
21.146340114064515 15 25 2 1
51.56339745409787 45 7 50 1
54.60963987512514 45 15 5 1
62.5304868533276 45 25 2 1
108.62168786628172 90 7 25 1
123.63311155326664 90 15 2 1
126.80982636194676 90 25 2 1
182.7369532682933 140 7 15 1
194.23786407895386 140 15 2 1
198.95389427198097 140 25 2 1
251.66787160374224 200 7 10 1
282.16582283191383 200 15 2 1
287.6020085858181 200 25 2 1
351.1895727929659 270 7 6 1
374.45517547475174 270 15 2 1
373.62161795794964 270 25 2 1
4.508063932880759 5 7 150 2
5.297113449778408 5 15 20 2
3.8779461761005223 5 25 2 2
12.917313653975725 15 7 100 2
12.15006593707949 15 15 10 2
11.00191439781338 15 25 2 2
27.73442661901936 45 7 50 2
28.705823212862015 45 15 5 2
31.768787036649883 45 25 2 2
58.87573817325756 90 7 25 2
61.71741769788787 90 15 2 2
62.769452217034996 90 25 2 2
93.01667547179386 140 7 15 2
98.24850826896727 140 15 2 2
99.29485125327483 140 25 2 2
131.8243207698688 200 7 10 2
140.17177137499675 200 15 2 2
144.02936215139925 200 25 2 2
174.76528664212674 270 7 6 2
188.81274305004627 270 15 2 2
193.1446962109767 270 25 2 2
3.8585289558395743 5 7 150 4
4.529834801796824 5 15 20 4
2.8671689853072166 5 25 2 4
8.767597403842956 15 7 100 4
8.77035219501704 15 15 10 4
7.383845738135278 15 25 2 4
17.969304208178073 45 7 50 4
18.277536588720977 45 15 5 4
20.23462952533737 45 25 2 4
36.43994778115302 90 7 25 4
38.1585551709868 90 15 2 4
38.42634956119582 90 25 2 4
57.229498967994004 140 7 15 4
60.879500571172684 140 15 2 4
60.50632977904752 140 25 2 4
81.46487860800698 200 7 10 4
86.08100654790178 200 15 2 4
87.34757807012647 200 25 2 4
107.64553645299748 270 7 6 4
114.37242602277547 270 15 2 4
117.93335083592683 270 25 2 4
2.8766379822045565 5 7 150 8
3.5820852871984243 5 15 20 8
2.7504491773433983 5 25 2 8
6.085358729586005 15 7 100 8
6.333748030010611 15 15 10 8
4.920297646895051 15 25 2 8
12.02283398900181 45 7 50 8
11.966043064836413 45 15 5 8
13.254820560105145 45 25 2 8
23.660982551053166 90 7 25 8
24.986665457021445 90 15 2 8
24.593778691254556 90 25 2 8
36.90349618019536 140 7 15 8
39.278934659902006 140 15 2 8
38.48195394175127 140 25 2 8
51.319310132879764 200 7 10 8
54.176578460261226 200 15 2 8
55.85982772707939 200 25 2 8
68.06741207791492 270 7 6 8
72.99154689023271 270 15 2 8
73.87292102398351 270 25 2 8
2.7843355340883136 5 7 150 16
3.668871772941202 5 15 20 16
2.731454852037132 5 25 2 16
4.58585499599576 15 7 100 16
4.791884667240083 15 15 10 16
4.2121704001910985 15 25 2 16
9.3144465200603 45 7 50 16
9.500166292767972 45 15 5 16
10.06472496688366 45 25 2 16
17.41390666505322 90 7 25 16
18.337520871311426 90 15 2 16
18.303314983844757 90 25 2 16
26.37562664411962 140 7 15 16
28.05779567360878 140 15 2 16
27.754427399020642 140 25 2 16
36.821499444078654 200 7 10 16
38.993395816069096 200 15 2 16
40.51235794322565 200 25 2 16
48.456382812932134 270 7 6 16
52.006369680166245 270 15 2 16
51.833979996386915 270 25 2 16
2.9699540683068335 5 7 150 32
3.528334509115666 5 15 20 32
2.7448274521157146 5 25 2 32
4.538450596854091 15 7 100 32
4.819986947346479 15 15 10 32
4.463477875106037 15 25 2 32
9.071076415013522 45 7 50 32
9.425499955192208 45 15 5 32
9.869285059161484 45 25 2 32
17.14025208959356 90 7 25 32
18.547081320080906 90 15 2 32
18.648899925872684 90 25 2 32
26.16619318211451 140 7 15 32
28.2148474464193 140 15 2 32
27.784858129918575 140 25 2 32
37.008225017692894 200 7 10 32
39.54460854595527 200 15 2 32
40.92218205798417 200 25 2 32
49.449097047094256 270 7 6 32
52.736843295861036 270 15 2 32
52.105426845140755 270 25 2 32
