Depth HiddenSize AvgLatencyMs
2 4 0.000703
2 8 0.000714
2 16 0.000716
2 32 0.000712
2 64 0.000704
2 128 0.000705
2 256 0.000702
2 512 0.000724
2 1024 0.000721
2 2048 0.000719
3 4 0.000702
3 8 0.000710
3 16 0.000716
3 32 0.000734
3 64 0.000728
3 128 0.000723
3 256 0.000707
3 512 0.000750
3 1024 0.000771
3 2048 0.001034
5 4 0.000725
5 8 0.000729
5 16 0.000703
5 32 0.000721
5 64 0.000716
5 128 0.000736
5 256 0.000751
5 512 0.000776
5 1024 0.000952
5 2048 0.001624
7 4 0.000715
7 8 0.000706
7 16 0.000735
7 32 0.000731
7 64 0.000712
7 128 0.000736
7 256 0.000737
7 512 0.000844
7 1024 0.001077
7 2048 0.002395
9 4 0.000717
9 8 0.000713
9 16 0.000719
9 32 0.000708
9 64 0.000723
9 128 0.000728
9 256 0.000762
9 512 0.000832
9 1024 0.001206
9 2048 0.002976
