latency n_estimators max_depth learning_rate cores
176.56904096342623 2000 2 0.008 1
220.40302244992927 2000 5 0.005 1
172.96315693296492 2000 9 0.001 1
93.52354464121163 2000 2 0.008 2
118.79337355494499 2000 5 0.005 2
98.04710243083537 2000 9 0.001 2
62.667905393987894 2000 2 0.008 4
67.9122779709287 2000 5 0.005 4
56.25065608508885 2000 9 0.001 4
31.236110270023346 2000 2 0.008 8
39.687417407054454 2000 5 0.005 8
38.02653012890369 2000 9 0.001 8
25.314067970961332 2000 2 0.008 16
28.824113129172474 2000 5 0.005 16
30.14293459430337 2000 9 0.001 16
22.983754003886133 2000 2 0.008 32
31.15853927191347 2000 5 0.005 32
32.946779317222536 2000 9 0.001 32
