latency	n_estimators	max_depths	cores
0.003906006315781652 10 2 1
0.003385581473737961 10 5 1
0.004110797210495021 10 9 1
0.004093646315739438 50 2 1
0.004279131578952824 50 5 1
0.004709134210507297 50 9 1
0.005003547526269502 100 2 1
0.00536751873685142 100 5 1
0.0059917057894716364 100 9 1
0.005282804789490719 150 2 1
0.006482815578908087 150 5 1
0.008764617842069512 150 9 1
0.007138669578939459 250 2 1
0.008642951052599145 250 5 1
0.011117187263153028 250 9 1
0.012827470631524002 600 2 1
0.01390519268419379 600 5 1
0.020659140947397025 600 9 1
0.01612807505262026 1000 2 1
0.01905403742105256 1000 5 1
0.02843064721051441 1000 9 1
