latency	n_estimators	max_depths	cores
0.001192038360004517 10 2 1
0.0013115096500041544 10 5 1
0.001104835700007243 10 9 1
0.0012872871799936548 50 2 1
0.0014093108699944424 50 5 1
0.0014368759699937073 50 9 1
0.0016756841000005807 100 2 1
0.0016755225299948506 100 5 1
0.0017747180799960916 100 9 1
0.0018370893900100781 150 2 1
0.001883995309999591 150 5 1
0.002174242650007727 150 9 1
0.00249491659999876 250 2 1
0.0026099690299997745 250 5 1
0.003138364369997362 250 9 1
0.003721244560001651 600 2 1
0.003765721769996162 600 5 1
0.006065270610006337 600 9 1
0.004754443260007974 1000 2 1
0.005401831059998585 1000 5 1
0.009262301940007092 1000 9 1
