latency n_estimators max_depth learning_rate cores
7.978820503999941 10 2 0.3 1
7.921099608000077 10 5 0.16 1
8.084070763 10 9 0.04 1
12.160989589999986 50 2 0.2 1
13.880065564999995 50 5 0.12 1
12.067825800000037 50 9 0.03 1
17.25237188299991 100 2 0.15 1
23.279924262999998 100 5 0.08 1
18.06248502599999 100 9 0.02 1
22.536501247999922 150 2 0.1 1
28.95288249700002 150 5 0.05 1
24.282768994000094 150 9 0.016 1
33.609173336000026 250 2 0.04 1
39.1487304609999 250 5 0.03 1
37.137511189000065 250 9 0.012 1
68.88394925199998 600 2 0.02 1
82.40133336399992 600 5 0.01 1
81.64558246799993 600 9 0.006 1
110.52701023700001 1000 2 0.01 1
143.27979228999993 1000 5 0.008 1
116.64219763699998 1000 9 0.002 1
4.20581608800012 10 2 0.3 2
4.196029648000149 10 5 0.16 2
4.242618867999909 10 9 0.04 2
6.540668889000017 50 2 0.2 2
7.370049690000087 50 5 0.12 2
6.825605640000049 50 9 0.03 2
9.673144512000135 100 2 0.15 2
11.207725530000062 100 5 0.08 2
10.33018608899988 100 9 0.02 2
12.447090089999847 150 2 0.1 2
14.843562863999978 150 5 0.05 2
14.03885362799997 150 9 0.016 2
18.642491844000006 250 2 0.04 2
22.927350871000044 250 5 0.03 2
21.66780096499997 250 9 0.012 2
38.84811055 600 2 0.02 2
49.51423653699999 600 5 0.01 2
47.592720482999994 600 9 0.006 2
66.78310090000014 1000 2 0.01 2
79.78183023800011 1000 5 0.008 2
71.39309931300022 1000 9 0.002 2
2.5921597969995673 10 2 0.3 4
2.4222008629999436 10 5 0.16 4
2.4862087450001127 10 9 0.04 4
3.9475761929998043 50 2 0.2 4
4.5153179849999105 50 5 0.12 4
4.147417540000333 50 9 0.03 4
5.787400643000183 100 2 0.15 4
7.124193347000073 100 5 0.08 4
6.4341862710002715 100 9 0.02 4
7.782780241000182 150 2 0.1 4
9.458785567000177 150 5 0.05 4
8.888174240999888 150 9 0.016 4
11.849493420999806 250 2 0.04 4
31.16193989600015 250 5 0.03 4
14.103103290000035 250 9 0.012 4
26.783885672999986 600 2 0.02 4
33.34596578599985 600 5 0.01 4
31.867226588999984 600 9 0.006 4
40.09267580200003 1000 2 0.01 4
59.47887418500022 1000 5 0.008 4
53.14633974599974 1000 9 0.002 4
2.0646944159998384 10 2 0.3 8
2.0767120360001172 10 5 0.16 8
2.1052339299999403 10 9 0.04 8
3.5525787819997277 50 2 0.2 8
4.100280195999858 50 5 0.12 8
4.108452066999689 50 9 0.03 8
5.377734066999892 100 2 0.15 8
6.838352111999939 100 5 0.08 8
5.979937767999672 100 9 0.02 8
8.155436886000189 150 2 0.1 8
9.00198856299994 150 5 0.05 8
8.808176637999622 150 9 0.016 8
10.87829979199978 250 2 0.04 8
13.660777419999704 250 5 0.03 8
13.625604615000157 250 9 0.012 8
23.96181371099965 600 2 0.02 8
31.613317266000195 600 5 0.01 8
34.85498794899968 600 9 0.006 8
39.53522374999966 1000 2 0.01 8
53.202617433999876 1000 5 0.008 8
45.52035579499989 1000 9 0.002 8
