n_estimators,max_depth,learning_rate,cores,training_time,cache_miss_percent,cpus_utilized,ipc
10,2,0.3,1,6.6435,8.786,1.006,1.81
10,5,0.16,1,6.2276,8.877,1.007,1.89
10,9,0.04,1,6.2354,9.092,1.007,1.91
50,2,0.2,1,9.8094,5.178,1.005,2.35
50,5,0.12,1,10.4412,5.678,1.004,2.37
50,9,0.03,1,9.6423,6.862,1.004,2.26
100,2,0.15,1,14.0095,4.353,1.003,2.60
100,5,0.08,1,16.5368,4.902,1.003,2.53
100,9,0.02,1,13.7985,6.102,1.004,2.49
150,2,0.1,1,18.6932,3.880,1.003,2.70
150,5,0.05,1,20.9595,4.530,1.003,2.75
150,9,0.016,1,18.2999,6.059,1.003,2.58
250,2,0.04,1,27.3811,3.667,1.002,2.86
250,5,0.03,1,33.6884,4.507,1.001,2.69
250,9,0.012,1,27.9684,5.303,1.002,2.74
600,2,0.02,1,57.6580,3.493,1.001,3.03
600,5,0.01,1,,,,N/A
600,9,0.006,1,61.7964,5.171,1.000,2.97
1000,2,0.01,1,93.3929,3.570,1.001,3.09
1000,5,0.008,1,111.7914,3.951,1.000,3.04
1000,9,0.002,1,90.5624,5.433,1.000,2.92
2000,2,0.008,1,176.7308,3.154,1.000,3.16
2000,5,0.005,1,220.7964,3.835,1.000,3.12
2000,9,0.001,1,180.8047,5.390,1.000,2.88
10,2,0.3,2,3.4071,8.880,1.844,1.84
10,5,0.16,2,3.4531,9.848,1.848,1.80
10,9,0.04,2,3.4136,9.402,1.845,1.84
50,2,0.2,2,5.2907,5.383,1.895,2.25
50,5,0.12,2,5.7143,6.117,1.906,2.22
50,9,0.03,2,5.2975,7.361,1.884,2.14
100,2,0.15,2,7.8303,4.605,1.939,2.36
100,5,0.08,2,8.8585,5.152,1.933,2.41
100,9,0.02,2,8.0436,6.605,1.923,2.20
150,2,0.1,2,10.1812,4.058,1.932,2.53
150,5,0.05,2,11.1198,4.607,1.943,2.64
150,9,0.016,2,10.0970,6.260,1.938,2.38
250,2,0.04,2,14.4612,3.945,1.955,2.74
250,5,0.03,2,16.6163,4.431,1.962,2.75
250,9,0.012,2,15.2972,5.785,1.958,2.55
600,2,0.02,2,31.6437,3.718,1.978,2.78
600,5,0.01,2,51.8845,4.529,1.864,2.10
600,9,0.006,2,34.3063,5.187,1.977,2.70
1000,2,0.01,2,48.8530,3.579,1.987,2.97
1000,5,0.008,2,61.0626,4.039,1.976,2.82
1000,9,0.002,2,49.2682,5.645,1.985,2.70
2000,2,0.008,2,98.6880,3.546,1.994,2.84
2000,5,0.005,2,117.2842,4.151,1.994,2.94
2000,9,0.001,2,96.5060,5.519,1.992,2.71
10,2,0.3,4,1.9531,9.143,3.164,1.80
10,5,0.16,4,2.0426,9.429,3.152,1.73
10,9,0.04,4,2.0749,9.470,3.099,1.76
50,2,0.2,4,3.7238,5.641,3.311,1.85
50,5,0.12,4,3.1819,6.114,3.423,2.15
50,9,0.03,4,3.2206,7.337,3.339,1.95
100,2,0.15,4,4.1923,4.940,3.540,2.34
100,5,0.08,4,4.7588,5.252,3.578,2.34
100,9,0.02,4,4.4025,6.745,3.561,2.11
150,2,0.1,4,5.4265,4.383,3.623,2.46
150,5,0.05,4,6.2249,4.768,3.655,2.45
150,9,0.016,4,5.9051,6.452,3.653,2.13
250,2,0.04,4,8.1835,4.344,3.739,2.50
250,5,0.03,4,9.4881,4.809,3.774,2.47
250,9,0.012,4,15.8194,6.075,2.956,1.69
600,2,0.02,4,16.6326,4.032,3.859,2.69
600,5,0.01,4,19.2057,4.459,3.887,2.66
600,9,0.006,4,19.0536,5.573,3.881,2.46
1000,2,0.01,4,26.5879,3.797,3.913,2.76
1000,5,0.008,4,31.4965,4.575,3.929,2.73
1000,9,0.002,4,28.2768,5.801,3.913,2.38
2000,2,0.008,4,50.2179,3.876,3.956,2.80
2000,5,0.005,4,63.6087,4.339,3.961,2.73
2000,9,0.001,4,55.0318,5.946,3.952,2.40
10,2,0.3,8,1.2042,9.097,5.169,1.71
10,5,0.16,8,1.2517,9.509,5.149,1.67
10,9,0.04,8,1.3802,9.473,4.943,1.65
50,2,0.2,8,1.7863,5.730,5.913,1.95
50,5,0.12,8,1.9352,6.169,6.062,1.92
50,9,0.03,8,1.8904,7.516,5.989,1.77
100,2,0.15,8,2.4857,4.869,6.419,2.09
100,5,0.08,8,2.8565,5.227,6.583,2.06
100,9,0.02,8,2.7738,6.587,6.532,1.79
150,2,0.1,8,3.2775,4.688,6.694,2.14
150,5,0.05,8,3.7155,5.173,6.833,2.14
150,9,0.016,8,3.5528,6.605,6.807,1.85
250,2,0.04,8,5.0693,4.247,7.080,2.09
250,5,0.03,8,5.6396,4.855,7.218,2.14
250,9,0.012,8,5.3786,6.061,7.189,1.93
600,2,0.02,8,9.7465,4.111,7.527,2.33
600,5,0.01,8,11.5642,4.605,7.603,2.24
600,9,0.006,8,13.1343,5.656,7.635,1.83
1000,2,0.01,8,18.6050,4.003,7.727,2.01
1000,5,0.008,8,21.6716,4.409,7.773,2.02
1000,9,0.002,8,18.5244,5.954,7.723,1.85
2000,2,0.008,8,33.7864,3.874,7.848,2.12
2000,5,0.005,8,37.8720,4.408,7.863,2.31
2000,9,0.001,8,34.8235,6.087,7.842,1.92
10,2,0.3,16,0.8347,9.349,8.387,1.48
10,5,0.16,16,0.8200,9.609,8.442,1.46
10,9,0.04,16,0.8709,10.088,8.484,1.44
50,2,0.2,16,1.2811,5.747,10.159,1.55
50,5,0.12,16,1.3593,6.343,10.106,1.56
50,9,0.03,16,1.3407,7.803,10.224,1.41
100,2,0.15,16,1.7515,5.077,11.401,1.62
100,5,0.08,16,1.9936,5.574,11.652,1.62
100,9,0.02,16,1.9373,7.434,11.736,1.39
150,2,0.1,16,2.4819,4.586,12.499,1.51
150,5,0.05,16,2.5596,5.409,12.575,1.64
150,9,0.016,16,2.5402,7.108,12.501,1.40
250,2,0.04,16,3.8737,4.328,13.535,1.44
250,5,0.03,16,3.7819,5.014,13.461,1.67
250,9,0.012,16,3.8157,6.729,13.524,1.43
600,2,0.02,16,6.6374,4.194,14.475,1.76
600,5,0.01,16,7.9652,4.927,14.684,1.68
600,9,0.006,16,8.5768,6.176,14.794,1.44
1000,2,0.01,16,11.5502,4.103,15.084,1.65
1000,5,0.008,16,12.9504,4.701,15.174,1.72
1000,9,0.002,16,13.3625,6.655,15.148,1.32
2000,2,0.008,16,27.3665,4.021,15.587,1.34
2000,5,0.005,16,27.6821,4.756,15.592,1.62
2000,9,0.001,16,28.2704,6.655,15.566,1.22
10,2,0.3,32,0.6676,6.551,14.243,1.03
10,5,0.16,32,0.6800,7.044,14.266,1.01
10,9,0.04,32,0.6996,7.356,14.498,0.98
50,2,0.2,32,6.6985,4.551,27.146,0.25
50,5,0.12,32,6.3858,5.019,27.388,0.26
50,9,0.03,32,1.5303,6.230,20.085,0.73
100,2,0.15,32,1.5778,3.935,21.415,0.96
100,5,0.08,32,1.8680,3.796,22.585,0.91
100,9,0.02,32,1.9030,5.412,22.594,0.77
150,2,0.1,32,2.1048,3.628,23.318,0.94
150,5,0.05,32,2.7088,4.017,24.658,0.83
150,9,0.016,32,2.5210,5.609,24.473,0.75
250,2,0.04,32,3.1257,3.357,25.409,0.93
250,5,0.03,32,3.7629,3.835,26.559,0.88
250,9,0.012,32,3.9579,5.290,26.590,0.74
600,2,0.02,32,7.2699,3.284,28.761,0.84
600,5,0.01,32,8.0339,3.873,29.130,0.86
600,9,0.006,32,8.5815,4.832,29.224,0.75
1000,2,0.01,32,10.4294,3.314,29.848,0.94
1000,5,0.008,32,13.0889,3.409,30.153,0.88
1000,9,0.002,32,13.4049,5.449,30.135,0.69
2000,2,0.008,32,21.2161,3.390,30.848,0.88
2000,5,0.005,32,27.1745,3.506,31.049,0.85
2000,9,0.001,32,26.1158,5.344,30.970,0.68
