latency n_estimators max_depth learning_rate cores
6.136899316916242 10 2 0.3 1
6.240457660052925 10 5 0.16 1
6.204005551990122 10 9 0.04 1
9.982640048023313 50 2 0.2 1
10.311647738097236 50 5 0.12 1
9.82498964597471 50 9 0.03 1
13.967485815053806 100 2 0.15 1
15.914389706915244 100 5 0.08 1
15.34183148900047 100 9 0.02 1
18.97481990302913 150 2 0.1 1
21.490329544991255 150 5 0.05 1
22.815960061037913 150 9 0.016 1
27.18264774698764 250 2 0.04 1
32.16510638105683 250 5 0.03 1
27.730625030118972 250 9 0.012 1
57.61093090195209 600 2 0.02 1
66.24964972096495 600 5 0.01 1
62.919909477001056 600 9 0.006 1
92.63116751797497 1000 2 0.01 1
109.78835071087815 1000 5 0.008 1
89.88998866896145 1000 9 0.002 1
3.332151345908642 10 2 0.3 2
3.3834197148680687 10 5 0.16 2
3.3690520611125976 10 9 0.04 2
5.372372958110645 50 2 0.2 2
5.607442875159904 50 5 0.12 2
5.251506746048108 50 9 0.03 2
7.775923598092049 100 2 0.15 2
8.430314627941698 100 5 0.08 2
7.745319586945698 100 9 0.02 2
10.87750505306758 150 2 0.1 2
11.211450146976858 150 5 0.05 2
10.004473268985748 150 9 0.016 2
14.476709697162732 250 2 0.04 2
16.62409226107411 250 5 0.03 2
15.30782209802419 250 9 0.012 2
30.35886013903655 600 2 0.02 2
35.10527327703312 600 5 0.01 2
34.172730152029544 600 9 0.006 2
47.950956266140565 1000 2 0.01 2
59.38432210101746 1000 5 0.008 2
48.360993784852326 1000 9 0.002 2
1.9307485320605338 10 2 0.3 4
1.995037728920579 10 5 0.16 4
2.0014806350227445 10 9 0.04 4
2.983560108114034 50 2 0.2 4
3.181017257971689 50 5 0.12 4
3.1368007180280983 50 9 0.03 4
6.198560370830819 100 2 0.15 4
4.792022340930998 100 5 0.08 4
4.401933226035908 100 9 0.02 4
5.395247188862413 150 2 0.1 4
6.223983219126239 150 5 0.05 4
5.9071434289216995 150 9 0.016 4
8.74013366480358 250 2 0.04 4
12.944587751990184 250 5 0.03 4
8.96518881409429 250 9 0.012 4
16.766254924004897 600 2 0.02 4
19.592315014917403 600 5 0.01 4
20.195843543857336 600 9 0.006 4
27.276210042182356 1000 2 0.01 4
37.25363546493463 1000 5 0.008 4
35.89156518201344 1000 9 0.002 4
1.2455250460188836 10 2 0.3 8
1.1994691779837012 10 5 0.16 8
1.2341632470488548 10 9 0.04 8
1.7985051441937685 50 2 0.2 8
2.034579464001581 50 5 0.12 8
2.0175874759443104 50 9 0.03 8
2.593012194847688 100 2 0.15 8
3.146373974857852 100 5 0.08 8
2.8800241809803993 100 9 0.02 8
3.610627614893019 150 2 0.1 8
4.018877698807046 150 5 0.05 8
4.067494272952899 150 9 0.016 8
4.810262976912782 250 2 0.04 8
5.697243080008775 250 5 0.03 8
5.6840647659264505 250 9 0.012 8
10.481113281100988 600 2 0.02 8
14.513518409105018 600 5 0.01 8
12.766561213182285 600 9 0.006 8
16.261642024852335 1000 2 0.01 8
20.336117097875103 1000 5 0.008 8
21.710494370898232 1000 9 0.002 8
0.8513204001355916 10 2 0.3 16
0.8384008840657771 10 5 0.16 16
0.8809793160762638 10 9 0.04 16
1.2934341551735997 50 2 0.2 16
1.394733201013878 50 5 0.12 16
1.4699765969999135 50 9 0.03 16
1.8176313620060682 100 2 0.15 16
2.0672938730567694 100 5 0.08 16
2.2451215758919716 100 9 0.02 16
2.358616913901642 150 2 0.1 16
2.7958319529425353 150 5 0.05 16
2.960186902899295 150 9 0.016 16
3.430513161001727 250 2 0.04 16
4.111453881952912 250 5 0.03 16
4.631458961172029 250 9 0.012 16
10.004834999097511 600 2 0.02 16
9.15387812606059 600 5 0.01 16
10.024185741087422 600 9 0.006 16
13.093029920011759 1000 2 0.01 16
17.698000414995477 1000 5 0.008 16
15.142324824118987 1000 9 0.002 16
0.7165025440044701 10 2 0.3 32
0.7344354640226811 10 5 0.16 32
0.7689150590449572 10 9 0.04 32
1.242501880042255 50 2 0.2 32
1.411217992193997 50 5 0.12 32
1.4824716411530972 50 9 0.03 32
1.7751734869088978 100 2 0.15 32
2.175454551819712 100 5 0.08 32
2.252505284966901 100 9 0.02 32
2.349683649139479 150 2 0.1 32
2.9943318869918585 150 5 0.05 32
3.102717217989266 150 9 0.016 32
3.519710801076144 250 2 0.04 32
4.495672388933599 250 5 0.03 32
4.908548983978108 250 9 0.012 32
7.469354629982263 600 2 0.02 32
9.844422772992402 600 5 0.01 32
10.94687258102931 600 9 0.006 32
12.736501452047378 1000 2 0.01 32
16.118931551929563 1000 5 0.008 32
17.26779868383892 1000 9 0.002 32
