latency n_estimators max_depth learning_rate cores
2.056946258999915 10 2 0.3 1
2.0364685529998496 10 5 0.16 1
2.1160910830001285 10 9 0.04 1
2.5439074590001383 50 2 0.2 1
2.7338538139999855 50 5 0.12 1
2.702396986999929 50 9 0.03 1
3.1203444760001275 100 2 0.15 1
3.4587885419998656 100 5 0.08 1
3.535446673000024 100 9 0.02 1
3.7470374199999696 150 2 0.1 1
4.218117570999993 150 5 0.05 1
4.125710074000153 150 9 0.016 1
4.971031023000023 250 2 0.04 1
5.7562392460001774 250 5 0.03 1
5.767139394999958 250 9 0.012 1
9.082364697000003 600 2 0.02 1
10.853504534999956 600 5 0.01 1
11.69122001300002 600 9 0.006 1
14.096197100999916 1000 2 0.01 1
17.363533984000014 1000 5 0.008 1
16.874709544000098 1000 9 0.002 1
