Depth HiddenSize AvgLatencyMs
2 4 0.017374
2 8 0.016935
2 16 0.016851
2 32 0.016967
2 64 0.017679
2 128 0.017129
2 256 0.017143
2 512 0.017666
2 1024 0.016913
2 2048 0.017602
3 4 0.016925
3 8 0.017640
3 16 0.017137
3 32 0.017414
3 64 0.017461
3 128 0.017238
3 256 0.017317
3 512 0.017056
3 1024 0.017743
3 2048 0.018414
5 4 0.017116
5 8 0.017207
5 16 0.017038
5 32 0.017156
5 64 0.017257
5 128 0.017378
5 256 0.017291
5 512 0.017982
5 1024 0.017948
5 2048 0.019911
7 4 0.017618
7 8 0.017410
7 16 0.017393
7 32 0.017408
7 64 0.018030
7 128 0.017704
7 256 0.017369
7 512 0.017764
7 1024 0.018304
7 2048 0.021135
9 4 0.017853
9 8 0.017525
9 16 0.017393
9 32 0.017057
9 64 0.017833
9 128 0.017370
9 256 0.017441
9 512 0.018036
9 1024 0.018583
9 2048 0.023435
