depth	hidden_size	latency
2	4	0.06485573700047098
2	8	0.07492846900095174
2	16	0.07738639200033504
2	32	0.07164135899984103
2	64	0.06678277500031982
2	128	0.06495410299976356
2	256	0.06868003800082079
2	512	0.07578665300025023
3	4	0.07266742499996326
3	8	0.06677648499862698
3	16	0.0675460890015529
3	32	0.0664851980000094
3	64	0.06729746599921782
3	128	0.0700806549994013
3	256	0.10026888199899986
3	512	0.16523317800056248
5	4	0.06975012800103286
5	8	0.07059034099984274
5	16	0.08665121900048689
5	32	0.08191308800087427
5	64	0.08087532699937583
5	128	0.0921870879992639
5	256	0.1565999800004647
5	512	0.3235815729985916
7	4	0.07231139399846143
7	8	0.07309589500073344
7	16	0.07205744999919261
7	32	0.076650677001453
7	64	0.08761019099983969
7	128	0.110554595999929
7	256	0.21285317799993209
7	512	0.46632157400017604
9	4	0.08304918999965594
9	8	0.07642584700079169
9	16	0.07642879500053823
9	32	0.08372544399935578
9	64	0.10009380100018461
9	128	0.1313422540006286
9	256	0.24424652900052024
9	512	0.6383139209992805
