depth	hidden_size	core_count	latency
2	16	8	3.9455463979393244
2	16	12	3.8962741908617318
2	16	16	3.9815977797843516
2	16	24	2.216405864804983
2	16	32	2.5118290069513023
2	32	8	12.000508427154273
2	32	12	8.28803632222116
2	32	16	8.422414380125701
2	32	24	5.999083229806274
2	32	32	6.052251560613513
2	64	8	18.204893107991666
2	64	12	14.647476410027593
2	64	16	14.608363867271692
2	64	24	11.453580128028989
2	64	32	11.79372934019193
2	128	8	36.35985846584663
2	128	12	27.702738305088133
2	128	16	27.582952942233533
2	128	24	22.741486923769116
2	128	32	22.90465428493917
2	256	8	73.23800219409168
2	256	12	54.456248935777694
2	256	16	54.59236249793321
2	256	24	44.6698334091343
2	256	32	45.08226847695187
2	512	8	178.37552693113685
2	512	12	124.76394069427624
2	512	16	124.97707062959671
2	512	24	127.6316446098499
2	512	32	127.65564264496788
3	16	8	5.2332497970201075
3	16	12	5.284534461796284
3	16	16	5.257330605760217
3	16	24	3.229819139931351
3	16	32	3.517753602936864
3	32	8	14.975401014089584
3	32	12	12.202981614973396
3	32	16	11.629300043918192
3	32	24	8.307385008316487
3	32	32	8.430505425203592
3	64	8	20.750539493281394
3	64	12	17.105327199213207
3	64	16	19.054317560978234
3	64	24	17.337375551927835
3	64	32	17.326945320237428
3	128	8	42.89293972495943
3	128	12	33.342827514279634
3	128	16	36.936085421592
3	128	24	33.94166223099455
3	128	32	28.297250103205442
3	256	8	93.87405800679699
3	256	12	68.68391136499122
3	256	16	75.42974504688755
3	256	24	70.02707180986181
3	256	32	62.51722017489374
3	512	8	225.7506346278824
3	512	12	163.65627419715747
3	512	16	163.67296564718708
3	512	24	167.13324717339128
3	512	32	162.25959199201316
5	16	8	7.8470383528620005
5	16	12	7.521293743047863
5	16	16	7.560198039747775
5	16	24	5.156907422002405
5	16	32	5.545234903227538
5	32	8	21.304893963970244
5	32	12	16.63788193790242
5	32	16	15.753729504998773
5	32	24	13.144934008363634
5	32	32	13.47433424089104
5	64	8	26.617726032156497
5	64	12	22.441745400894433
5	64	16	28.406565298791975
5	64	24	28.188883788883686
5	64	32	26.7286913190037
5	128	8	55.878011067863554
5	128	12	44.26440358906984
5	128	16	55.217193888965994
5	128	24	55.02787777921185
5	128	32	38.97476327698678
5	256	8	125.10429680766538
5	256	12	96.38156807608902
5	256	16	119.96548619074747
5	256	24	100.25871048867702
5	256	32	89.54492067825049
5	512	8	328.1575287687592
5	512	12	243.3429898112081
5	512	16	237.4196327026002
5	512	24	246.26079493388534
5	512	32	234.1088960012421
7	16	8	10.166130582801998
7	16	12	9.705478840041906
7	16	16	9.657183275092393
7	16	24	7.001539391931146
7	16	32	7.9283357807435095
7	32	8	27.71162206120789
7	32	12	21.95206939475611
7	32	16	21.074737262912095
7	32	24	17.4571021492593
7	32	32	17.25106459436938
7	64	8	32.18155759992078
7	64	12	27.768252104055136
7	64	16	36.41439828276634
7	64	24	36.58969830209389
7	64	32	36.80226782197133
7	128	8	68.94881120417267
7	128	12	55.6523304390721
7	128	16	73.41991648823023
7	128	24	74.60607431316748
7	128	32	49.38722407864407
7	256	8	160.79426909424365
7	256	12	126.60670073190704
7	256	16	163.00316290045157
7	256	24	128.07946687890217
7	256	32	121.42745122127235
7	512	8	419.5801138882525
7	512	12	316.37840563897043
7	512	16	314.153922196012
7	512	24	329.02009943686426
7	512	32	306.57098012510687
9	16	8	11.94659374980256
9	16	12	12.142007429152727
9	16	16	12.032820966094732
9	16	24	8.93259301269427
9	16	32	9.32765888934955
9	32	8	33.854235551320016
9	32	12	27.06483227573335
9	32	16	25.559728517197073
9	32	24	21.04917306266725
9	32	32	22.083358041010797
9	64	8	37.81060129310936
9	64	12	33.06226597400382
9	64	16	45.216477368958294
9	64	24	46.00881857192144
9	64	32	47.452746708877385
9	128	8	83.1210160413757
9	128	12	65.89354437403381
9	128	16	92.3678840380162
9	128	24	99.42973565822467
9	128	32	60.54152789199725
9	256	8	196.07947447011247
9	256	12	155.1841544318013
9	256	16	211.6199636249803
9	256	24	168.44664496509358
9	256	32	142.19879984715953
9	512	8	521.3752958900295
9	512	12	392.1960832923651
9	512	16	392.0583127150312
9	512	24	414.906095252838
9	512	32	379.55621900362894
