depth	hidden_size	core_count	latency
2	16	8	4.100449500139803
2	16	12	4.164690332021564
2	16	16	4.074575128033757
2	16	24	2.472063730005175
2	16	32	2.617191136814654
2	32	8	12.145388899371028
2	32	12	8.470053953584284
2	32	16	9.360721515957266
2	32	24	6.343204435892403
2	32	32	6.037902418989688
2	64	8	18.221429280005395
2	64	12	14.575214286334813
2	64	16	14.510424735024571
2	64	24	11.816729417070746
2	64	32	11.654748961795121
2	128	8	36.49126805597916
2	128	12	27.791443028952926
2	128	16	27.765973982401192
2	128	24	22.888581208419055
2	128	32	22.920973744243383
2	256	8	74.48160382220522
2	256	12	54.01230991818011
2	256	16	55.16133749485016
2	256	24	44.83866862114519
2	256	32	51.44301032228395
2	512	8	179.26190042914823
2	512	12	128.83563723694533
2	512	16	127.74755337275565
2	512	24	128.21884064003825
2	512	32	127.37297409772873
3	16	8	5.4287056610919535
3	16	12	4.6946578728966415
3	16	16	5.18094806978479
3	16	24	3.3232337781228125
3	16	32	3.4534489307552576
3	32	8	15.299934992101043
3	32	12	12.09273675410077
3	32	16	11.618379732128233
3	32	24	8.561764609068632
3	32	32	8.996965154074132
3	64	8	21.365313838236034
3	64	12	17.405223483219743
3	64	16	19.39215609105304
3	64	24	16.628590456210077
3	64	32	16.629919534083456
3	128	8	43.67531403480098
3	128	12	33.883997650351375
3	128	16	36.982380997855216
3	128	24	34.337729753926396
3	128	32	28.363091457635164
3	256	8	92.89465428795666
3	256	12	70.1966178510338
3	256	16	75.91943687899038
3	256	24	63.45405394490808
3	256	32	60.72818132862449
3	512	8	229.7085218108259
3	512	12	164.895576025825
3	512	16	163.78114936081693
3	512	24	167.4175667767413
3	512	32	176.72585066920146
5	16	8	7.578931500669569
5	16	12	7.0216294708661735
5	16	16	7.3417406706139445
5	16	24	5.521817816887051
5	16	32	9.241156947799027
5	32	8	19.171466699801385
5	32	12	16.113188139162958
5	32	16	16.627740651369095
5	32	24	13.042063074652106
5	32	32	16.760300009977072
5	64	8	27.269018098246306
5	64	12	23.47097712988034
5	64	16	29.04419961478561
5	64	24	27.653731314931065
5	64	32	27.204457289073616
5	128	8	58.20780289173126
5	128	12	45.116667901631445
5	128	16	55.71615823917091
5	128	24	56.43601162638515
5	128	32	39.13077545398846
5	256	8	129.2966219652444
5	256	12	98.80648745968938
5	256	16	118.01617905404419
5	256	24	101.94113206490874
5	256	32	90.37351507321
5	512	8	330.26248304825276
5	512	12	239.72715843794867
5	512	16	237.800986204762
5	512	24	247.45248153014109
5	512	32	233.80369893135503
7	16	8	10.843828777782619
7	16	12	10.133894429076463
7	16	16	9.799684164114296
7	16	24	7.111363195814192
7	16	32	7.386548406910151
7	32	8	26.73970804689452
7	32	12	22.233235775027424
7	32	16	21.30239102523774
7	32	24	17.346010874956846
7	32	32	18.2593855522573
7	64	8	33.562459122855216
7	64	12	28.481758835725486
7	64	16	37.64086512802169
7	64	24	40.02191957924515
7	64	32	37.817994073964655
7	128	8	72.1896399371326
7	128	12	57.17887965217233
7	128	16	74.40115001611412
7	128	24	78.21168189076707
7	128	32	49.46922657219693
7	256	8	166.89770465018228
7	256	12	128.6598656391725
7	256	16	164.0175582030788
7	256	24	135.91394532984123
7	256	32	115.6736575178802
7	512	8	431.9184469850734
7	512	12	317.1322805569507
7	512	16	315.9816736308858
7	512	24	333.0795305101201
7	512	32	307.25006428267807
9	16	8	12.993418135214597
9	16	12	11.855747726745903
9	16	16	12.425756677985191
9	16	24	10.04747733892873
9	16	32	9.372768611647189
9	32	8	34.51256208401173
9	32	12	27.023222181014717
9	32	16	26.003080630209297
9	32	24	21.757268297020346
9	32	32	23.283005981706083
9	64	8	40.51031761104241
9	64	12	33.65153107512742
9	64	16	46.06356802722439
9	64	24	51.721081492025405
9	64	32	46.11345659894869
9	128	8	87.00408484134823
9	128	12	68.42581737134606
9	128	16	92.82537162676454
9	128	24	98.76362530188635
9	128	32	60.87378556188196
9	256	8	203.82869133818895
9	256	12	157.21376951318234
9	256	16	202.7757220058702
9	256	24	163.49361489107832
9	256	32	146.4908018358983
9	512	8	534.2398575753905
9	512	12	396.0442012473941
9	512	16	393.764485145919
9	512	24	416.4940749700181
9	512	32	380.43120625894517
