depth	hidden_size	latency
2	4	0.05142130639978859
2	8	0.05710828299997957
2	16	0.060222469799919055
2	32	0.06975425099990389
2	64	0.11062836519959092
3	4	0.07284528240015789
3	8	0.08070764600088295
3	16	0.08956846720029717
3	32	0.10734742180065951
3	64	0.19978815760005092
5	4	0.11732574580018991
5	8	0.13732731879972562
5	16	0.148856015799538
5	32	0.18729059839970433
5	64	0.3654705939996347
7	4	0.1611539093999454
7	8	0.1962626251999609
7	16	0.25283188020002856
7	32	0.26356429279985605
7	64	0.533289025200429
9	4	0.20580813460001082
9	8	0.25515150879982684
9	16	0.276933786000518
9	32	0.3442472260001523
9	64	0.7096408975998202
